Points,EstimatedArea,RelativeError
100,0.63,0.332993
600,1.065,0.12756
1100,1.03909,0.100129
1600,0.9675,0.0243329
2100,0.96,0.0163923
2600,0.99,0.0481546
3100,0.949355,0.00512183
3600,0.96,0.0163923
4100,0.941707,0.00297493
4600,0.927391,0.0181319
5100,0.942353,0.00229138
5600,0.948214,0.00391427
6100,0.938361,0.00651818
6600,0.951818,0.00772987
7100,0.953239,0.00923461
7600,0.948553,0.0042725
8100,0.957778,0.0140395
8600,0.956512,0.012699
9100,0.958352,0.0146471
9600,0.94875,0.00448146
10100,0.949901,0.00570006
10600,0.950094,0.00590477
11100,0.951892,0.00780791
11600,0.951983,0.00790412
12100,0.953554,0.00956736
12600,0.945714,0.00126742
13100,0.944656,0.000147486
13600,0.938382,0.00649521
14100,0.935106,0.00996361
14600,0.938836,0.00601532
15100,0.939338,0.00548369
15600,0.938077,0.00681858
16100,0.936894,0.00807055
16600,0.94012,0.00465498
17100,0.938947,0.005897
17600,0.939886,0.00490285
18100,0.940276,0.00449006
18600,0.943548,0.00102571
19100,0.937696,0.00722152
19600,0.934439,0.0106704
20100,0.938955,0.00588868
20600,0.936262,0.00873997
21100,0.934976,0.0101013
21600,0.938333,0.0065471
22100,0.939502,0.00530951
22600,0.938628,0.00623479
23100,0.937792,0.00712002
23600,0.944237,0.00029634
24100,0.945187,0.000708866
24600,0.946829,0.0024479
25100,0.950199,0.00601579
25600,0.950273,0.00609439
26100,0.953793,0.0098208
26600,0.952782,0.00875026
27100,0.951144,0.00701599
27600,0.951196,0.00707077
28100,0.949324,0.00508901
28600,0.945315,0.000844346
29100,0.946392,0.00198468
29600,0.948345,0.00405224
30100,0.948439,0.0041517
30600,0.950882,0.00673907
31100,0.951801,0.0077113
31600,0.950981,0.00684352
32100,0.951589,0.007487
32600,0.95273,0.00869532
33100,0.953021,0.0090035
33600,0.955714,0.0118548
34100,0.954897,0.0109899
34600,0.956965,0.0131794
35100,0.954359,0.0104199
35600,0.95309,0.00907628
36100,0.954848,0.0109373
36600,0.956311,0.0124871
37100,0.95628,0.0124541
37600,0.958644,0.0149562
38100,0.956457,0.0126409
38600,0.954793,0.0108792
39100,0.953171,0.00916253
39600,0.953864,0.00989548
40100,0.953192,0.00918441
40600,0.951429,0.00731737
41100,0.950365,0.00619129
41600,0.949543,0.00532133
42100,0.950238,0.00605637
42600,0.948592,0.0043137
43100,0.949698,0.00548554
43600,0.948716,0.00444503
44100,0.948163,0.00386026
44600,0.950247,0.00606601
45100,0.94929,0.00505367
45600,0.947961,0.00364561
46100,0.94705,0.00268148
46600,0.947124,0.00276043
47100,0.948535,0.00425386
47600,0.949916,0.00571592
48100,0.949771,0.00556276
48600,0.952222,0.00815765
49100,0.95444,0.0105056
49600,0.954617,0.010693
50100,0.955868,0.0120179
50600,0.95834,0.0146347
51100,0.957593,0.0138439
51600,0.957907,0.0141763
52100,0.957179,0.0134051
52600,0.958517,0.0148223
53100,0.960847,0.0172895
53600,0.961119,0.0175775
54100,0.959556,0.0159226
54600,0.960824,0.0172649
55100,0.960436,0.0168535
55600,0.960863,0.0173063
56100,0.958717,0.0150335
56600,0.957721,0.0139793
57100,0.958161,0.0144454
57600,0.958594,0.0149034
58100,0.958244,0.0145336
58600,0.957901,0.01417
59100,0.958782,0.0151025
59600,0.957534,0.013781
60100,0.955707,0.0118473
60600,0.956139,0.0123041
61100,0.954795,0.010882
61600,0.953766,0.00979236
62100,0.953913,0.00994779
62600,0.955208,0.0113185
63100,0.954057,0.0101003
63600,0.953915,0.00994996
64100,0.954197,0.010248
64600,0.95531,0.0114264
65100,0.957235,0.0134649
65600,0.95872,0.0150366
66100,0.960045,0.0164404
66600,0.959054,0.0153908
67100,0.958346,0.0146409
67600,0.958713,0.0150297
68100,0.958811,0.015133
68600,0.959038,0.0153737
69100,0.959913,0.0163004
69600,0.960647,0.0170768
70100,0.960214,0.0166189
70600,0.95915,0.0154925
71100,0.958481,0.0147841
71600,0.958953,0.0152833
72100,0.958294,0.0145861
72600,0.957149,0.0133736
73100,0.955896,0.0120473
73600,0.956005,0.0121631
74100,0.955749,0.0118916
74600,0.954893,0.0109851
75100,0.954887,0.0109788
75600,0.955714,0.0118548
76100,0.956649,0.0128446
76600,0.955692,0.0118311
77100,0.955798,0.0119431
77600,0.955206,0.0113169
78100,0.954507,0.0105767
78600,0.953015,0.00899728
79100,0.952794,0.00876294
79600,0.951897,0.0078133
80100,0.953034,0.0090168
80600,0.952593,0.00855026
81100,0.953268,0.0092644
81600,0.952941,0.00891883
82100,0.952071,0.00799716
82600,0.952736,0.00870169
83100,0.951769,0.00767775
83600,0.951998,0.00791984
84100,0.952759,0.00872555
84600,0.95234,0.00828279
85100,0.951716,0.00762129
85600,0.951414,0.00730147
86100,0.952056,0.00798139
86600,0.951028,0.00689297
87100,0.951148,0.00702043
87600,0.951267,0.00714644
88100,0.951691,0.00759549
88600,0.951603,0.00750174
89100,0.951212,0.00708821
89600,0.950424,0.00625391
90100,0.950644,0.00648643
90600,0.95106,0.00692673
91100,0.950878,0.00673463
91600,0.950993,0.00685669
92100,0.951303,0.00718435
92600,0.950637,0.00647946
93100,0.951042,0.00690798
93600,0.949712,0.00549948
94100,0.94983,0.00562487
94600,0.950613,0.00645401
95100,0.950442,0.00627247
95600,0.949801,0.00559447
96100,0.949917,0.00571675
96600,0.949938,0.00573913
97100,0.950144,0.00595754
97600,0.949887,0.00568556
98100,0.950734,0.00658194
98600,0.951207,0.00708268
99100,0.951403,0.0072899
99600,0.950783,0.00663402
